Day,Meal Time,Food,Calories,Protein (g),Carbs (g),Fats (g)
Day 1,Breakfast,Oatmeal + 2 boiled eggs,350,22,30,14
Day 1,Lunch,Grilled chicken + brown rice + broccoli,450,40,35,12
Day 1,Snack,Greek yogurt + almonds,200,12,10,12
Day 1,Dinner,Salmon + veggies + sweet potato,500,38,25,20
Day 2,Breakfast,"Protein smoothie (whey, banana, oats)",350,30,30,8
Day 2,Lunch,Beef stir-fry + rice + veg,450,35,40,15
Day 2,Snack,Boiled egg + fruit,200,10,15,8
Day 2,Dinner,Tofu + quinoa + kale salad,500,30,35,18
Day 3,Breakfast,Toast + scrambled eggs + avocado,400,20,25,20
Day 3,Lunch,Grilled fish + pumpkin + spinach,450,35,20,15
Day 3,Snack,Whey + apple,200,25,15,2
Day 3,Dinner,Chicken + brown rice + salad,500,38,35,12
Day 4,Breakfast,Yogurt + granola + berries,350,20,30,10
Day 4,Lunch,Turkey + couscous + steamed veg,450,35,30,12
Day 4,Snack,Protein bar,200,20,15,6
Day 4,Dinner,Beef + veg + mashed cauliflower,500,35,25,18
Day 5,Breakfast,Egg white omelet + toast,350,25,25,10
Day 5,Lunch,Shrimp + rice noodles + bok choy,450,30,40,12
Day 5,Snack,Low-fat milk + banana,200,10,25,5
Day 5,Dinner,Grilled chicken + sweet potato + greens,500,35,30,15
Day 6,Breakfast,Cottage cheese + pear + walnuts,350,25,25,12
Day 6,Lunch,Tuna salad + toast + soup,450,35,25,15
Day 6,Snack,Protein shake,200,25,10,2
Day 6,Dinner,Lean pork + rice + sautéed spinach,500,38,35,15
Day 7,Breakfast,Oatmeal + peanut butter + egg,350,22,30,14
Day 7,Lunch,Grilled tofu + rice + cabbage slaw,450,30,35,15
Day 7,Snack,Boiled egg + nuts,200,12,5,14
Day 7,Dinner,Steamed fish + veg + brown rice,500,36,30,16
